"","1,3-Butadiene","Acetaldehyde","Benzene","Cyanide Compounds","Diesel Pm","Toluene"
"351","L","L","L","L","L","L"
"352","L","L","L","L","L","L"
"353","L","L","L","L","L","L"
"354","L","L","L","L","L","L"
"355","L","L","L","L","L","L"
"356","L","L","L","L","L","L"
"357","L","L","L","L","L","L"
"358","H","L","H","L","H","L"
"359","H","L","L","L","H","L"
"360","H","L","H","L","H","L"
"361","L","L","L","L","L","L"
"362","L","L","L","L","L","L"
"363","L","H","L","L","L","L"
"364","L","H","L","L","L","L"
"365","L","H","L","L","L","L"
"366","L","H","L","L","L","L"
"367","L","H","L","L","L","L"
"368","L","H","L","L","L","L"
"369","L","H","L","L","L","L"
"370","L","H","L","L","L","L"
"371","L","H","L","L","L","L"
"372","H","H","L","L","L","L"
"373","L","H","L","L","L","L"
"374","H","H","H","L","L","L"
"375","H","H","L","L","L","L"
"376","H","H","H","L","L","L"
"377","H","H","H","L","L","L"
"378","L","H","L","L","L","L"
"379","H","H","L","L","L","L"
"380","L","H","L","L","L","L"
"381","H","H","H","L","H","L"
"382","H","H","H","L","L","L"
"383","H","H","H","L","L","L"
"384","H","H","H","L","L","L"
"385","H","H","H","L","L","L"
"386","H","H","H","L","L","L"
"387","L","H","L","L","L","L"
"388","L","H","L","L","L","L"
"389","L","H","L","L","L","L"
"390","H","H","H","L","H","L"
"391","L","H","L","L","H","L"
"392","L","H","H","L","L","L"
"393","H","H","L","L","L","L"
"394","L","H","L","L","L","L"
"395","L","H","L","L","L","L"
"396","L","H","L","L","L","L"
"397","L","H","L","L","L","L"
"398","L","H","L","L","L","L"
"399","L","L","L","L","L","L"
"400","L","H","L","L","L","L"
"401","L","H","L","L","L","L"
"402","L","H","L","L","L","L"
"403","L","H","L","L","L","L"
"404","L","H","L","L","L","L"
"405","L","H","L","L","L","L"
"406","L","H","L","L","L","L"
"407","L","H","L","L","L","L"
"408","L","H","L","L","L","L"
"409","L","H","L","L","L","L"
"410","L","H","L","L","L","L"
"411","H","H","H","L","H","L"
"412","L","H","L","L","L","L"
"413","H","H","H","L","L","L"
"414","L","H","L","L","L","L"
"415","L","H","L","L","L","L"
"416","L","H","L","L","L","L"
"417","L","H","L","L","L","L"
"418","L","H","L","L","L","L"
"419","L","H","L","L","L","L"
"420","L","H","L","L","L","L"
"421","L","H","L","L","L","L"
"422","L","H","L","L","L","L"
"423","L","L","L","L","L","L"
"424","L","H","L","L","L","L"
"425","L","H","L","L","L","L"
"426","L","H","L","L","L","L"
"427","L","L","L","L","L","L"
"428","L","H","L","L","L","L"
"429","L","H","L","L","L","L"
"430","L","H","L","L","L","L"
"431","L","H","L","L","L","L"
"432","L","L","L","L","L","L"
"433","L","H","L","L","L","L"
"434","L","H","L","L","L","L"
"435","L","L","L","L","L","L"
"436","L","L","L","L","L","L"
"437","L","H","L","L","L","L"
"438","L","L","L","L","L","L"
"439","H","L","H","L","H","L"
"440","L","L","L","L","L","L"
"441","H","L","H","L","H","L"
"442","L","L","L","L","L","L"
"443","L","L","L","L","L","L"
"444","L","L","L","L","L","L"
"445","L","L","L","L","L","L"
"446","L","L","L","L","L","L"
"447","L","L","L","L","L","L"
"448","L","L","L","L","L","L"
"449","L","L","L","L","L","L"
"450","L","L","L","L","L","L"
"451","L","L","L","L","L","L"
"452","L","L","L","L","L","L"
"453","L","L","L","L","L","L"
"454","L","L","L","L","L","L"
"455","L","L","L","L","L","L"
"456","L","L","L","L","L","L"
"457","L","L","L","L","L","L"
"458","L","L","L","L","L","L"
"459","L","L","H","L","L","L"
"460","H","L","H","L","L","L"
"461","L","L","L","L","L","L"
"462","L","L","H","L","L","L"
"463","H","L","H","L","L","L"
"464","H","L","H","L","H","L"
"465","L","L","L","L","L","L"
"466","L","L","L","L","L","L"
"467","L","L","L","L","L","L"
"468","L","L","L","L","L","L"
"469","L","L","L","L","L","L"
"470","H","L","L","L","L","L"
"471","L","L","L","L","L","L"
"472","H","L","H","L","L","L"
"473","L","L","H","L","L","L"
"474","L","L","L","L","L","L"
"475","L","L","L","L","L","L"
"476","L","L","L","L","L","L"
"477","L","L","L","L","L","L"
"478","L","L","L","L","L","L"
"479","L","L","L","L","L","L"
"480","L","L","L","L","L","L"
"481","L","L","L","L","L","L"
"482","H","L","H","L","L","L"
"483","L","L","L","L","L","L"
"484","L","L","L","L","L","L"
"485","L","L","L","L","L","L"
"486","H","L","L","L","L","L"
"487","L","L","L","L","L","L"
"488","H","L","H","L","L","L"
"489","L","L","L","L","L","L"
"490","H","L","H","L","H","L"
"491","L","L","L","L","L","L"
"492","L","L","L","L","L","L"
"493","L","L","L","L","L","L"
"494","L","L","L","L","L","L"
"495","H","L","L","L","L","L"
"496","L","L","L","L","L","L"
"497","L","L","L","L","L","L"
"498","H","L","H","L","H","L"
"499","H","L","H","L","L","L"
"500","L","L","L","L","L","L"
"501","L","L","L","L","L","L"
"502","H","L","H","L","L","L"
"503","H","L","H","L","L","L"
"504","H","L","H","L","L","L"
"505","H","L","H","L","L","L"
"506","H","L","H","L","L","L"
"507","H","L","H","L","L","L"
"508","H","L","L","L","L","L"
"509","H","L","L","L","L","L"
"510","H","L","H","L","L","L"
"511","H","L","H","L","L","L"
"512","H","L","H","L","L","L"
"513","H","L","L","L","L","L"
"514","L","L","L","L","L","L"
"515","H","L","H","L","L","L"
"516","H","L","H","L","L","L"
"517","H","L","H","L","L","L"
"518","H","L","H","L","L","L"
"519","H","L","H","L","L","L"
"520","H","L","L","L","L","L"
"521","H","L","H","L","L","L"
"522","L","L","L","L","L","L"
"523","H","L","H","L","L","L"
"524","H","L","L","L","L","L"
"525","L","L","L","L","L","L"
"526","H","L","H","L","L","L"
"527","H","L","H","L","L","L"
"528","L","L","L","L","L","L"
"529","L","L","L","L","L","L"
"530","H","L","H","L","H","L"
"531","H","L","H","L","L","L"
"532","H","L","H","L","L","L"
"533","H","L","L","L","L","L"
"534","H","L","L","L","L","L"
"535","L","L","L","L","L","L"
"536","L","L","L","L","L","L"
"537","L","L","L","L","L","L"
"538","L","L","L","L","L","L"
"539","L","L","L","L","L","L"
"540","L","L","L","L","L","L"
"541","L","L","L","L","L","L"
"542","L","L","L","L","L","L"
"543","L","L","L","L","L","L"
"544","L","L","L","L","L","L"
"545","L","L","L","L","L","L"
"546","L","L","L","L","L","L"
"547","L","L","L","L","L","L"
"548","L","L","L","L","L","L"
"549","L","L","L","L","L","L"
"550","L","L","L","L","L","L"
"551","L","L","L","L","L","L"
"552","L","L","L","L","L","L"
"553","L","L","L","L","L","L"
"554","L","L","L","L","L","L"
"555","L","L","L","L","L","L"
"556","L","L","L","L","L","L"
"557","L","L","L","L","L","L"
"558","L","L","L","L","L","L"
"559","H","L","L","L","L","L"
"560","L","L","L","L","L","L"
"561","L","L","L","L","L","L"
"562","L","L","L","L","L","L"
"563","L","L","L","L","L","L"
"564","L","L","L","L","L","L"
"565","L","L","L","L","L","L"
"566","L","L","L","L","L","L"
"567","L","L","L","L","L","L"
"568","L","L","L","L","L","L"
"569","L","L","L","L","L","L"
"570","L","L","L","L","L","L"
"571","L","L","L","L","L","L"
"572","L","L","L","L","L","L"
"573","L","L","L","L","L","L"
"574","L","L","L","L","L","L"
"575","L","L","L","L","L","L"
"576","L","L","L","L","L","L"
"577","L","L","L","L","L","L"
"578","L","L","L","L","L","L"
"579","L","L","L","L","L","L"
"580","L","L","L","L","L","L"
"581","L","L","L","L","L","L"
"582","L","L","L","L","L","L"
"583","L","L","L","L","L","L"
"584","L","L","L","L","L","L"
"585","L","L","L","L","L","L"
"586","L","L","L","L","L","L"
"587","L","L","L","L","L","L"
"588","L","L","L","L","L","L"
"589","L","L","L","L","L","L"
"590","L","L","L","L","L","L"
"591","L","L","L","L","L","L"
"592","H","L","L","L","L","L"
"593","H","L","H","L","L","L"
"594","H","L","H","L","L","L"
"595","H","L","H","L","H","L"
"596","H","L","H","L","L","L"
"597","L","L","L","L","L","L"
"598","H","L","H","L","L","L"
"599","H","L","L","L","L","L"
"600","H","L","L","L","L","L"
"601","L","L","L","L","L","L"
"602","H","L","L","L","L","L"
"603","L","L","L","L","L","L"
"604","H","L","L","H","L","L"
"605","H","L","H","L","L","L"
"606","H","L","H","L","L","L"
"607","H","L","L","H","L","L"
"608","H","L","L","L","L","L"
"609","H","L","L","L","L","L"
"610","H","L","H","L","L","L"
"611","H","L","L","L","L","L"
"612","H","L","H","L","L","L"
"613","H","L","H","H","L","L"
"614","H","L","H","H","L","L"
"615","H","L","H","H","L","L"
"616","H","L","L","L","L","L"
"617","H","L","H","H","H","L"
"618","H","L","H","H","H","L"
"619","H","L","H","H","L","L"
"620","H","L","H","H","L","L"
"621","H","L","H","H","L","L"
"622","H","L","H","H","H","L"
"623","H","L","H","H","H","L"
"624","H","L","H","H","H","L"
"625","H","L","H","H","L","L"
"626","H","L","H","H","H","L"
"627","H","L","H","H","H","L"
"628","H","L","H","H","H","L"
"629","H","L","H","H","H","L"
"630","H","L","H","H","H","L"
"631","H","L","H","H","L","L"
"632","L","L","L","H","L","L"
"633","H","L","H","H","L","L"
"634","H","L","H","H","H","L"
"635","H","L","H","H","H","L"
"636","H","L","H","H","H","L"
"637","H","L","H","H","H","L"
"638","H","L","H","H","H","L"
"639","H","L","H","H","L","L"
"640","H","L","H","H","H","L"
"641","H","L","H","H","L","L"
"642","H","L","L","H","L","L"
"643","H","L","H","L","L","L"
"644","H","L","H","L","L","L"
"645","L","L","L","L","L","L"
"646","L","L","L","H","L","L"
"647","L","L","L","L","L","L"
"648","L","L","H","H","L","L"
"649","L","L","L","L","L","L"
"650","L","L","L","L","L","L"
"651","L","L","L","L","L","L"
"652","L","L","L","L","L","L"
"653","L","L","L","L","L","L"
"654","L","L","L","L","L","L"
"655","L","L","L","L","L","L"
"656","L","L","L","L","L","L"
"657","L","L","L","L","L","L"
"658","L","L","L","L","L","L"
"659","L","L","L","H","L","L"
"660","L","L","L","H","L","L"
"661","L","L","L","H","L","L"
"662","L","L","L","H","L","L"
"663","L","L","L","L","L","L"
"664","L","L","L","L","L","L"
"665","L","L","L","L","L","L"
"666","L","L","L","L","L","L"
"667","L","H","L","L","L","L"
"668","L","H","L","L","L","L"
"669","L","H","L","L","L","L"
"670","L","H","L","H","L","L"
"671","L","H","L","L","L","L"
"672","L","H","L","H","L","L"
"673","L","H","L","H","L","L"
"674","L","H","L","H","L","L"
"675","L","H","L","L","L","L"
"676","L","H","L","H","L","L"
"677","L","H","L","L","L","L"
"678","L","H","L","H","L","L"
"679","L","H","L","H","L","L"
"680","L","H","L","H","L","L"
"681","L","H","L","H","L","L"
"682","L","H","L","L","L","L"
"683","L","H","L","L","L","L"
"684","L","H","L","L","L","L"
"685","L","H","L","L","L","L"
"686","L","H","L","L","L","L"
"687","L","H","L","L","L","L"
"688","L","H","L","L","L","L"
"689","L","H","L","L","L","L"
"690","L","H","L","L","L","L"
"691","L","H","L","L","L","L"
"692","L","H","L","L","L","L"
"693","L","H","L","L","L","L"
"694","L","H","L","L","L","L"
"695","L","H","L","L","L","L"
"696","L","L","L","H","L","L"
"697","L","H","L","H","L","L"
"698","L","H","L","H","L","L"
"699","L","L","L","L","L","L"
"700","L","L","L","L","L","L"
"701","L","L","L","L","L","L"
"702","H","H","H","L","H","L"
"703","H","H","H","L","H","L"
"704","H","H","L","L","H","L"
"705","H","H","H","L","H","L"
"706","H","H","H","L","H","L"
"707","H","H","H","L","H","L"
"708","H","H","H","L","H","L"
"709","L","H","L","L","L","L"
"710","L","H","L","L","L","L"
"711","L","H","L","L","H","L"
"712","L","H","L","L","H","L"
"713","L","H","L","L","H","L"
"714","H","H","H","L","H","L"
"715","L","H","L","L","H","L"
"716","L","H","L","L","H","L"
"717","H","H","H","L","H","L"
"718","H","H","H","L","H","L"
"719","L","H","L","L","H","L"
"720","L","H","L","L","H","L"
"721","H","H","L","L","H","L"
"722","L","H","L","L","L","L"
"723","L","H","L","L","L","L"
"724","L","H","H","L","H","L"
"725","L","H","L","L","H","L"
"726","L","H","L","L","L","L"
"727","L","H","L","L","L","L"
"728","L","H","L","L","L","L"
"729","L","H","L","L","L","L"
"730","L","H","L","L","L","L"
"731","L","H","L","L","L","L"
"732","L","H","L","L","L","L"
"733","L","H","L","L","H","L"
"734","H","H","L","L","L","L"
"735","H","H","H","L","L","L"
"736","H","H","H","L","H","L"
"737","H","H","H","L","H","L"
"738","H","H","L","L","H","L"
"739","H","H","L","L","H","L"
"740","L","H","L","L","H","L"
"741","H","H","H","L","H","L"
"742","L","H","L","L","H","L"
"743","L","H","L","L","H","L"
"744","H","H","L","L","H","L"
"745","L","H","L","L","H","L"
"746","L","H","L","L","L","L"
"747","L","H","L","L","L","L"
"748","L","H","L","L","L","L"
"749","L","H","L","L","L","L"
"750","L","H","L","L","H","L"
"751","L","H","L","L","L","L"
"752","L","H","H","L","H","L"
"753","L","H","L","L","L","L"
"754","L","H","L","L","L","L"
"755","L","H","L","L","H","L"
"756","L","H","L","L","H","L"
"757","H","H","L","L","H","L"
"758","H","H","L","L","H","L"
"759","H","H","L","L","H","L"
"760","H","H","L","L","L","L"
"761","L","H","L","L","L","L"
"762","L","H","L","L","L","L"
"763","L","H","L","L","L","L"
"764","L","H","L","L","L","L"
"765","L","H","L","L","H","L"
"766","L","H","H","L","H","L"
"767","L","H","L","L","L","L"
"768","L","H","L","L","L","L"
"769","L","H","H","L","H","L"
"770","L","H","L","L","L","L"
"771","L","H","L","L","L","L"
"772","L","H","L","L","L","L"
"773","L","H","L","L","L","L"
"774","L","H","L","L","L","L"
"775","L","H","L","L","L","L"
"776","L","H","L","L","L","L"
"777","L","H","L","L","L","L"
"778","L","H","L","L","L","L"
"779","L","H","L","L","L","L"
"780","L","H","L","L","L","L"
"781","L","H","L","L","L","L"
"782","L","H","L","L","L","L"
"783","L","H","L","L","L","L"
"784","L","H","L","L","L","L"
"785","L","H","L","L","L","L"
"786","L","H","L","L","L","L"
"787","L","H","L","L","L","L"
"788","L","H","L","L","L","L"
"789","L","H","L","L","L","L"
"790","L","H","L","L","L","L"
"791","L","H","L","L","H","L"
"792","L","H","L","L","L","L"
"793","L","H","L","L","L","L"
"794","H","H","L","L","L","L"
"795","H","H","L","L","H","L"
"796","L","H","L","L","L","L"
"797","H","H","L","L","L","L"
"798","L","H","L","L","L","L"
"799","L","H","L","L","L","L"
"800","L","H","L","L","L","L"
"801","L","H","L","L","L","L"
"802","L","H","L","L","L","L"
"803","L","H","L","L","L","L"
"804","L","H","L","L","L","L"
"805","L","H","L","L","L","L"
"806","H","H","L","L","H","L"
"807","H","H","L","L","H","L"
"808","L","H","L","L","H","L"
"809","L","H","L","L","L","L"
"810","L","H","L","L","L","L"
"811","H","H","L","L","H","L"
"812","H","H","H","L","H","L"
"813","L","H","L","L","H","L"
"814","L","H","L","L","H","L"
"815","H","H","H","L","H","L"
"816","L","H","L","L","L","L"
"817","L","H","L","L","L","L"
"818","L","H","L","L","L","L"
"819","L","H","L","L","H","L"
"820","L","H","L","L","L","L"
"821","H","H","H","L","H","L"
"822","L","H","L","L","L","L"
"823","L","H","L","L","L","L"
"824","L","H","L","L","L","L"
"825","L","H","L","L","L","L"
"826","L","H","L","L","L","L"
"827","L","H","L","L","L","L"
"828","L","H","L","L","L","L"
"829","L","H","L","L","H","L"
"830","L","H","L","L","L","L"
"831","L","H","L","L","L","L"
"832","L","H","L","L","L","L"
"833","L","H","L","L","L","L"
"834","L","H","L","L","L","L"
"835","L","H","L","L","H","L"
"836","L","H","L","L","L","L"
"837","L","H","L","L","L","L"
"838","L","H","L","L","L","L"
"839","L","H","L","L","L","L"
"840","H","H","H","L","H","L"
"841","L","H","L","L","L","L"
"842","L","H","L","L","L","L"
"843","L","H","L","L","H","L"
"844","H","H","H","L","H","L"
"845","L","H","L","L","H","L"
"846","L","H","L","L","L","L"
"847","L","H","L","L","L","L"
"848","L","H","L","L","L","L"
"849","H","H","H","L","L","L"
"850","L","H","L","L","L","L"
"851","L","H","H","L","L","L"
"852","L","H","L","L","L","L"
"853","L","H","L","L","L","L"
"854","L","H","L","L","L","L"
"855","L","H","L","L","L","L"
"856","L","H","L","L","L","L"
"857","L","H","L","L","L","L"
"858","L","H","L","L","L","L"
"859","L","H","L","L","L","L"
"860","L","H","L","L","L","L"
"861","L","H","L","L","L","L"
"862","L","H","L","L","L","L"
"863","L","H","L","L","L","L"
"864","L","H","L","L","L","L"
"865","L","L","L","L","L","L"
"866","L","H","L","L","L","L"
"867","L","H","L","L","L","L"
"868","L","H","L","L","L","L"
